Rose,HEX-E63244,pink
Dark Salmon,HEX-E9967A,pink
Light pink,HEX-EA899A,pink
Salmon,HEX-FA8072,pink
Deep Pink,HEX-FF1493,pink
Hot Pink,HEX-FF69B4,pink
Light Salmon,HEX-FFA07A,pink
Light Pink,HEX-FFB6C1,pink
Pink,HEX-FFC0CB,pink
Peach Puff,HEX-FFDAB9,pink
Misty Rose,HEX-FFE4E1,pink
Purple violet,HEX-4A192C,purple
Rebecca Purple,HEX-663399,purple
Purple,HEX-800080,purple
Pearl violet,HEX-8673A1,purple
Red violet,HEX-922B3E,purple
Signal violet,HEX-924E7D,purple
Medium Purple,HEX-9370DB,purple
Dark Violet,HEX-9400D3,purple
Traffic purple,HEX-A03472,purple
Plum,HEX-DDA0DD,purple
Lavender,HEX-E6E6FA,purple
Violet,HEX-EE82EE,purple
Lavender Blush,HEX-FFF0F5,purple
grapes,HEX-A03472,purple
wine,HEX-A03472,purple
merlot,HEX-A03472,purple
Wine red,HEX-5E2129,red
Oxide red,HEX-642424,red
Pearlruby red,HEX-721422,red
Purple red,HEX-75151E,red
Brown red,HEX-781F19,red
Dark Red,HEX-8B0000,red
Ruby red,HEX-9B111E,red
Curry,HEX-9D9101,red
Sienna,HEX-A0522D,red
Tomato red,HEX-A12312,red
Carmine red,HEX-A2231D,red
Signal red,HEX-A52019,red
Flame red,HEX-AF2B1E,red
Fire Brick,HEX-B22222,red
Orient red,HEX-B32428,red
Coral red,HEX-B32821,red
Beige red,HEX-C1876B,red
Raspberry red,HEX-C51D34,red
Pure red,HEX-CB3234,red
Traffic red,HEX-CC0605,red
Indian Red ,HEX-CD5C5C,red
Strawberry red,HEX-D53032,red
Pale Violet Red,HEX-DB7093,red
Crimson,HEX-DC143C,red
Bright red orange,HEX-F75E25,red
Luminous red,HEX-F80000,red
Luminous bright red,HEX-FE0000,red
Bright red,HEX-FE0000,red
Red,HEX-FF0000,red
Orange Red,HEX-FF4500,red
Tomato,HEX-FF6347,red
firetruck,HEX-FE0000,red
red apple,HEX-FE0000,red
fire hydrant,HEX-FE0000,red
fire,HEX-FE0000,red
red hot,HEX-FE0000,red
glowing,HEX-FE0000,red
hot,HEX-FE0000,red
cherry,HEX-FE0000,red
cherries,HEX-FE0000,red
strawberry,HEX-FE0000,red
raspberry,HEX-FE0000,red
stop sign,HEX-FE0000,red
stop,HEX-FE0000,red
rooster,HEX-FE0000,red
heart,HEX-FE0000,red
Silver,HEX-C0C0C0,silver
coins,HEX-C0C0C0,silver
Papyrus white,HEX-D7D7D7,white
Ivory,HEX-E1CC4F,white
Grey white,HEX-E7EBDA,white
Oyster white,HEX-EAE6CA,white
Signal white,HEX-F4F4F4,white
White Smoke,HEX-F5F5F5,white
Traffic white,HEX-F6F6F6,white
Ghost White,HEX-F8F8FF,white
Antique White,HEX-FAEBD7,white
Cream,HEX-FDF4E3,white
Old Lace,HEX-FDF5E6,white
Navajo White,HEX-FFDEAD,white
Sea Shell,HEX-FFF5EE,white
Snow,HEX-FFFAFA,white
Ivory,HEX-FFFFF0,white
Pure white,HEX-FFFFFF,white
White,HEX-FFFFFF,white
wedding dress,HEX-FFFFFF,white
paper,HEX-FFFFFF,white
snow,HEX-FFFFFF,white
ice,HEX-FFFFFF,white
eggshell,HEX-FFFFFF,white
powder,HEX-FFFFFF,white
Olive yellow,HEX-999950,yellow
Honey yellow,HEX-A98307,yellow
Green Yellow,HEX-ADFF2F,yellow
Ochre  yellow,HEX-AEA04B,yellow
Sand yellow,HEX-C6A664,yellow
Lemon yellow,HEX-C7B446,yellow
Golden yellow,HEX-CDA434,yellow
Broom yellow,HEX-D6AE01,yellow
Daffodil yellow,HEX-DC9D00,yellow
Maize yellow,HEX-E4A010,yellow
Signal yellow,HEX-E5BE01,yellow
Sulfur yellow,HEX-EDFF21,yellow
Pastel yellow,HEX-EFA94A,yellow
HoneyDew,HEX-F0FFF0,yellow
Sun yellow,HEX-F39F18,yellow
Sunshine,HEX-F39F18,yellow
Dahlia yellow,HEX-F3A505,yellow
Rape yellow,HEX-F3DA0B,yellow
Melon yellow,HEX-F4A900,yellow
Saffron yellow,HEX-F5D033,yellow
Zinc yellow,HEX-F8F32B,yellow
Traffic yellow,HEX-FAD201,yellow
Light Golden Rod Yellow,HEX-FAFAD2,yellow
Luminous yellow,HEX-FFFF00,yellow
Bright Yellow,HEX-FFFF00,yellow
Yellow,HEX-FFFF00,yellow
Light Yellow,HEX-FFFFE0,yellow
canary,HEX-FFFF00,yellow
sun,HEX-FFFF00,yellow
banana,HEX-FFFF00,yellow
lemon,HEX-FFFF00,yellow
sunflower,HEX-FFFF00,yellow
daisy,HEX-FFFF00,yellow
honey,HEX-FFFF00,yellow
happy,HEX-FFFF00,yellow
Teal,HEX-008080,
Dark Cyan,HEX-008B8B,
Aqua,HEX-00FFFF,
Cyan,HEX-00FFFF,
Umbra grey,HEX-332F2C,
Violet blue,HEX-354D73,
Sepia brown,HEX-382C1E,
Black olive,HEX-3B3C36,
Light blue,HEX-3B83BD,blue
Grey olive,HEX-3E3B32,
Brillant blue,HEX-3E5F8A,
Turquoise blue,HEX-3F888F,
Grey brown,HEX-403A3A,
Turquoise,HEX-40E0D0,
Black red,HEX-412227,
Royal Blue,HEX-4169E1,
Slate grey,HEX-434750,
Iron grey,HEX-434B4D,
Brown grey,HEX-464531,
Steel Blue,HEX-4682B4,
Yellow olive,HEX-47402E,
Medium Turquoise,HEX-48D1CC,
Mint turquoise,HEX-497E76,
Indigo ,HEX-4B0082,
May green,HEX-4C9141,
Green grey,HEX-4D5645,
Traffic grey B,HEX-4E5452,
Basalt grey,HEX-4E5754,
Yellow green,HEX-57A639,
Claret violet,HEX-641C34,
Mouse grey,HEX-646B63,
Medium Aqua Marine,HEX-66CDAA,
Pearl beige,HEX-6A5D4D,
Khaki grey,HEX-6A5F31,
Olive Drab,HEX-6B8E23,
Signal brown,HEX-6C3B2A,
Blue lilac,HEX-6C4675,
Pearl black berry,HEX-6C6874,
Red lilac,HEX-6D3F5B,
Beige grey,HEX-6D6552,
Pearl gold,HEX-705335,
Slate Gray,HEX-708090,
Slate Grey,HEX-708090,
Pearl copper,HEX-763C28,
Light Slate Gray,HEX-778899,grey
Light Slate Grey,HEX-778899,grey
Squirrel grey,HEX-78858B,grey
Beige brown,HEX-79553D,
Dusty grey,HEX-7D7F7D,grey
Cement grey,HEX-7D8471,grey
Olive grey,HEX-7E7B52,
Pastel turquoise,HEX-7FB5B5,
Chartreuse,HEX-7FFF00,
Aquamarine,HEX-7FFFD4,
Maroon,HEX-800000,
Pearl dark grey,HEX-828282,
Telegrey 2,HEX-82898F,
Blue Violet,HEX-8A2BE2,
Brown beige,HEX-8A6642,
Silver grey,HEX-8A9597,
Dark Magenta,HEX-8B008B,
Stone grey,HEX-8B8C7A,
Traffic grey A,HEX-8D948D,
Yellow grey,HEX-8F8B66,
Grey aluminium,HEX-8F8F8F,
Telegrey 1,HEX-909090,
Ochre brown,HEX-955F20,
Signal grey,HEX-969992,
Dark Orchid,HEX-9932CC,
Yellow Green,HEX-9ACD32,
Pearl light grey,HEX-9C9C9C,
Window grey,HEX-9DA1AA,
Grey beige,HEX-9E9764,
Bright Purple,HEX-A03472,
Pastel violet,HEX-A18594,
Brown,HEX-A52A2A,
White aluminium,HEX-A5A5A5,
Dark Gray,HEX-A9A9A9,grey
Dark Grey,HEX-A9A9A9,grey
Dark Golden Rod,HEX-B8860B,
Pebble grey,HEX-B8B799,
Medium Orchid,HEX-BA55D3,
Beige,HEX-C2B078,
Medium Violet Red,HEX-C71585,
Vermilion,HEX-CB2821,
Peru,HEX-CD853F,
Telemagenta,HEX-CF3476,
Telegrey 4,HEX-D0D0D0,
Tan,HEX-D2B48C,
Light Gray,HEX-D3D3D3,
Light Grey,HEX-D3D3D3,
Thistle,HEX-D8BFD8,
Orchid,HEX-DA70D6,
Golden Rod,HEX-DAA520,
Gainsboro,HEX-DCDCDC,
Heather violet,HEX-DE4C8A,
Light Cyan,HEX-E0FFFF,
Light ivory,HEX-E6D690,
Pale Golden Rod,HEX-EEE8AA,
Light Coral,HEX-F08080,
Khaki,HEX-F0E68C,
Azure,HEX-F0FFFF,
Fuchsia,HEX-FF00FF,
Magenta,HEX-FF00FF,
Coral,HEX-FF7F50,
Moccasin,HEX-FFE4B5,
Bisque,HEX-FFE4C4,
Blanched Almond,HEX-FFEBCD,
Papaya Whip,HEX-FFEFD5,
Cornsilk,HEX-FFF8DC,
Lemon Chiffon,HEX-FFFACD,
Floral White,HEX-FFFAF0,white
