French : Abondance  A firm- fruity and nutty cheese from the French Alps. Made in 20 pound wheels.,Abondance
Danish : Blue Castello  A blue-veined cheese with an extremely buttery taste. The surface of the cheese is rindless- thus the entire cheese is edible.,Blue Castello
American : Blythedale Vermont Camembert  For over 100 years- the barn at Blythedale Farm has been a focal point of the village of Cookeville- Vermont. A much newer barn houses the 30 or so Jersey cows in Becky and Tom Loftus' herd. These cows supply all of the milk for Blythedale Farm's Vermont Camembert. Blythedale's Vermont Camembert is much different than today's stabilized French Camembert in that it ages gracefully. When fresh- it is mild and creamy- pale yellow in color with a bloomy white mold rind. When aged it develops lots more character- turning yelow-orange and losing most of its fluffy white coating. The texture turns from creamy to almost crumbly and the flavor explodes with a complex earthiness.,Blythedale Vermont Camembert
Irish : Boilie  Hand rolls balls of fresh cheese - made from either cow's of goat's milk - preserved in sunflower oil. Flavored with fresh herbs.,Boilie
French : Boursin  A soft- spreadable fresh cheese flavored with herbs- pepper or fig.,Boursin
Italian : Bra  A pale yellow cheese from the Piedmont region that can be hard enough to grate if aged. Often used in baking as well as being a flavorful table cheese.,Bra
American : Brick  Brick is the oldest cheese type to have originated in the USA- first created in 1875 by John Jossi- a native of Switzerland living in Lebanon- Wisconsin. Myron Olson has been crafting cheese for over 30 years and is the manager of Chalet Cheese Cooperative Brick where he makes this Wisconsin original. Flavor changes from mild and sweet- with a touch of nuttiness when young to pungent and tangy when aged. Brick is surface-ripened with a smooth- open texture.,Brick
"French : Brie  Brie is the best known French cheese and is aptly nicknamed ""The Queen Of "". Several hundred years ago- Brie was one of the tributes which the subjects had to pay to the French kings. In France- Brie is very different from the cheese exported to the United States. ""Real"" French Brie is unstabilized and is at its peak of flavor when the surface turns slightly brown. As long as the cheese is still pure white- the cheese is not mature. Cutting unstabilized Brie before it is ripe will stop the maturing process and the cheese will never develop properly. Exported Brie- however- is stabilized and never matures. Stabilized Brie has a much longer shelf life and is not susceptible to bacteriological infections. Brie- one of the great dessert - comes as either a 1 or 2 kilogram wheel- and is packaged in a wooden box. In order to fully enjoy the experience- Brie must be served at room temperature.",Brie
French : Buche de Chevre  Also known as Bucheron- this 4 pound goat log has a bloomy white rind- a creamy ring of soft runny cheese just beneath it- and a chalky- tangy interior.,Buche de Chevre
Switzerland : Bundnerkase  This extraordinary washed rind specialty cheese comes from Graubuenden- well known for its tourism. This cheese is aged for a minimum of 8 months and is made daily from farm fresh cow's milk at small alpine dairies.,Bundnerkase
Italian : Burrata  A modern cheese by Italian standards- it was first created in the 1920s. A fresh cheese- it is essentially a sack of Mozzarella filled with cream and tied at the top.,Burrata
German : Butterkase  A mild- creamy cheese perfect for sandwiches.,Butterkase
Spanish : Cabrales  A renowned blue cheese from Austurias- Cabrales is made from blended cow's- goat's and sheep's milk. It is matured in naturally-formed limestone caves and has a creamy texture- a complex flavor and a powerful bouquet.,Cabrales
"Italian : Cacio di Fossa  Its name literally means ""cheese of the pit."" Fossa is a 3-pound odd-shaped Pecorino that is placed in a burlap sack and buried underground during aging.",Cacio di Fossa
Italian : Caciocavallo  Similar to Provolone- a drawn-curd cheese typical of southern Italy. Legend has it that originally this cheese was made from mare's milk by nomadic Mongolians.,Caciocavallo
English : Caerphilly  Originally from Wales- most Caerphilly production has moved to England. A simple white cheese with a chalky texture when aged or a creamy texture when young.,Caerphilly
French : Camembert  Another soft-ripened white mold cheese from France- Camembert- like Brie- is soft and creamy with an edible crust. A wheel of Camembert- however- is only 8 ounces and comes in its own wooden box.,Camembert
Italian : Canestrato Pugliese  Owes its name to the baskets in which it is set to ripen. Pure sheep's milk cheese made only from milk taken from Merino or Apulian Gentile breeds that graze naturally.,Canestrato Pugliese
French : Cantal  Often referred to as French cheddar- Cantal is actually more mild and less acidic than cheddar.,Cantal
Belgian : Capra  A fresh goat cheese (chevre) available plain or flavored with honey or herbs.,Capra
American : Capri  Westfield Farm has been handcrafting award-winning farmstead  in Hubbardston- Massachusetts since 1971. Located on 20 acres in the central part of the state- the farm turns out a little over 900 pounds of cheese per week. Their Capri  are fresh  made from cow or goat's milk- and may be white or blue. The white varieties are flavored with additives like cocoa or wasabi.,Capri
Irish : Carrigaline  A semi-soft- mild and creamy cheese dotted with small holes.,Carrigaline
Irish : Cashel Blue  A soft and creamy blue cheese from Beechmount Farm in Tipperary. Among the most mild and palatable blues- it is best enjoyed at a young age.,Cashel Blue
Italian : Castelmagno  A semi-soft cheese with a chalky to creamy texture made from cow's milk mixed with a touch of goat's milk. Its production- based around Cuneo (Piedmont)- dates back to ancient times.,Castelmagno
French : Chaource  First created in the Champagne region in the 14th century- It is a runny- creamy- mild cheese with hints of mushroom.,Chaource
American : Cheddar  See English cheddar,Cheddar
New Zealand : Cheddar  See English Cheddar,Cheddar
Irish : Cheddar  Similar to English cheddar.,Cheddar
English : Cheddar  Cheddar  were originally made in England; however- today they are manufactured in quite a number of countries. Fully cured- Cheddar is a hard- natural cheese. The rind- if any- is artificial- most often times wax. The color of the wax used for coating does not indicate a level of quality. Normally- the color of Cheddar ranges from white to pale yellow. Some Cheddars however have a color added- giving the cheese a yellow-orange color. Cheddar is always made from cow's milk and has a slightly crumbly texture if properly cured. If the cheese is too young- the texture is smooth. Cheddar gets a sharper taste the longer it matures. The important thing in purchasing Cheddar is to consider the age of the cheese. Of course- the older it is- the more it will cost.,Cheddar
Canadian : Cheddar  Same characteristics as English Cheddar.,Cheddar
Australian : Cheddar  Same characteristics as English Cheddar.,Cheddar
English : Cheshire  One of the oldest English - allegedly invented during the 12th century. Cheshire is firm in texture and a bit more crumbly than Cheddar. Cheshire is rich- mellow and slightly salty with an excellent aftertaste- its flavor sharpens as it ages.,Cheshire
French : Chevres  These  are made from goat's milk. They come in many sizes and shapes such as round patties- log-shapes- drum-shapes- pyramids- round loaves- long loaves- etc.; their textures vary from soft- but firm like cream cheese- to extremely hard. Chevres are excellent dessert - often served as snacks- or with before dinner drinks. Goat cheese is often served as an ingredient in many fine dishes. Varieties include Chabichou- Crottin- Clochette- St. Maure- Selles sur Cher and Valencay.,Chevres
Belgian : Chimay  Chimay produces several varieties of cheese- the most famous of which is their Trappiste with Beer. It is springy textured- slightly aromatic and has an enjoyable meaty flavor.,Chimay
English : Clotted Cream  Strawberry's famous partner- Clotted Cream has a much wider application than just strawberries and cream. It is thick and rich- and needs to be spooned. This product is served over fruit- hot scones- fish or vegetables.,Clotted Cream
American : Colby  A bland cheese with a mild and mellow flavor that is lightly sweet with a slightly tangy aftertaste. Often shredded or melted and used in recipes.,Colby
French : Comte  Comte is a natural- hard cheese with similar characteristics to Switzerland Gruyere.,Comte
Irish : Coolea  The hills of Collea give their name to the Williams family's acclaimed raw milk gouda-style cheese. Young- mild Coolea is 6-8 weeks old; some is flavored with nettles or herbs and garlic. Long-matured Coolea- piquant with a lingering finish- is becoming more and more sought-after.,Coolea
English : Cornish Yarg  Made at Ulceby Grange in Lincolnshire by Simon Jones- this cheese is similar to cheddar but with less acidity and a slightly bitter quality upfront with a genuinely sweet aftertaste.,Cornish Yarg
French : Coulommiers  Similar to Camembert- a wheel of Coulommiers is slightly larger (12 ounces) and the cheese has a nuttier flavor with a thicker crust.,Coulommiers
Danish : Cream Havarti  Arguably Denmark's most famous cheese- Cream Havarti is a deliciously mild- very creamy- natural- semisoft cheese laced with small to mid-sized holes. Cream Havarti is both a table cheese and a dessert cheese to be served with fruit and wine. Flavored Cream Havartis are also available- with ingredients such as dill- jalapeno pepper or garlic and herbs.,Cream Havarti
Danish : Danbo  A mild cheese with a sweet- nutty flavor. Available plain or flavored with caraway seeds.,Danbo
English : Derby  Similar to Lancashire- it is most often sold as Sage Derby- a green cheese flavored with bits of sage.,Derby
English : Double Gloucester  A natural hard cheese. Double Gloucester has a mild and rich flavor with a smooth texture and a creamy yellow color. This cheese is excellent with fruit and beer.,Double Gloucester
French : Doux de Montagne  Shaped like a loaf of artisan bread- this semi-soft- extremely mild cheese is encased in a brown wax rind- making it appear even more bread-like.,Doux de Montagne
Irish : Dunbarra  A soft cheese with an edible white rind- firmer than Brie yet distictively creamy. Hand-made by Dubliner Barra McFeely- this new cheese has already won three first prizes.,Dunbarra
Holand / Dutch : Edam  Edam is a semisoft to hard natural cheese- depending on age. Edam is similar in flavor to Gouda- but slightly dryer in texture and less creamy. Edam is traditionally shaped into 2 or 4 pound balls coated in red- yellow or black wax. Because of its shape and size- Edam makes an excellent gift basket centerpiece.,Edam
"Argentine : Edam  Originally an imitation of Dutch Edam balls- Argentine ""Magnasco"" Edam has taken on an identity of its own. It is dryer and harder than Dutch Edam and good on crackers and with red wine.",Edam
"Switzerland : Emmental  More commonly reffered to as ""Swiss Cheese""- Emmental is immitated by many cheese producing countries. Emmental is considered to be one of the most difficult  to successfully manufacture because of its complicated- hole-forming fermentation process. Emmental can be used as a table cheese- dessert cheese or sandwich cheese.",Emmental
German : Emmental  Same characteristics as Swiss Emmental.,Emmental
French : Emmental  Same characteristics as Swiss Emmental.,Emmental
Austrian : Emmental  Same characteristics as Swiss Emmental.,Emmental
French : Epoisses  A small-form- pungent- washed-rind cheese from Burgundy with a creamy interior that become runny at room temperature. Its rind is rinsed with Marc de Bourgogne during affinage.,Epoisses
Danish : Esrom  Previously known as Danish Port Salut- it was first created by monks in the Esrom Abbey. It is a semi-soft cheese with a pungent aroma and a spicy flavor.,Esrom
Portuguese : Evora  This small cheese (each wheel is only 6 ounces) is made from raw sheep's milk which is filtered through a mesh lining after being immersed in a salt brine solution. Aged over 60 days- Evora has a well formed crust and a yellow color that gets darker with contact with air. It has a slightly peppery and piquant flavor that gets stronger as it matures.,Evora
Greek : Feta  Genuine Greek Feta is made from sheep's milk- with a distinct strong- slightly acidic flavor. Feta is crumbly in texture and white in color. Feta is traditionally sold in glass jars- although modern packaging techniques have become more commonplace. Feta needs to be covered in brine at all times otherwise it will dry out and mold fast and needs to be refrigerated at all times. Feta is a true eating cheese- although most Americans think of it as a salad topping.,Feta
Finnish : Finlandia Swiss  Similar characteristics to Switzerland Emmental. Aged over 100 days- it is sharp- rindless and delicious.,Finlandia Swiss
Italian : Fiore Sardo  A pure sheep's milk cheese from Sardinia. Firm textured with a slightly oily texture. Its flavor has hints of green olive- wild herbs and grasses.,Fiore Sardo
French : Fleur de Maquis  A Corsican cheese made from sheep's milk and coated with a variety of local herbs. It is firm textured and sweet with strong hints of rosemary.,Fleur de Maquis
Swedish : Fontina  See Danish Fontina,Fontina
Italian : Fontina  Genuine Fontina comes from the Val d'Aosta region of Italy- in the Alps near the French and Swiss borders. One of the few  imported into America that is made from raw (unpasteurized) milk- it is a smooth- straw-colored cheese with a brown rind. Fontina has a delicate- nutty- buttery sweet flavor. Fontina is the primary ingredient in Italian fonduta and is a pristine table or dessert cheese.,Fontina
Danish : Fontina  Danish Fontina is pale yellow and semisoft with a mild- slightly sweet flavor. A derivitive of its Italian namesake and a great table cheese that goes well with a light wine- Fontina is also a good sandwich cheese.,Fontina
"Italian : Formai de Mut  Literally translated as ""mountain cheese""- Formai de Mut is a straw-colored- firm textured cheese made in Alta Val Brembana (the Italian Alps). The cows that produce its milk only graze outdoors on high Alpine pastures.",Formai de Mut
French : Fourme d'Ambert  A cylindrical raw cow's milk blue cheese from Auvergne. It has a creamy texture that is laced with blue eyes (not veins).,Fourme d'Ambert
Spanish : Gamonedo  This cheese is made from a blend of raw cow- goat and sheep's milk- mixed in a fixed proportion. It is left to curdle for a day- then molded and salted. Each wheel is lightly pressed and gently smoked- then matured in natural caves for at least 3 months where it develops some blue cheese characteristics. Its rind is naturally formed- becoming dry with a gray mold. Gamonedo's mild smokiness toward the rind combines with a lively- spicy- buttery interior.,Gamonedo
Spanish : Garrotxa  A semisoft cheese made from pasteurized goat's milk in Catalonia. It comes in grey-rined felt textured disks- it has a bone white interior. It has a mild flavor - nutty with herbal hints.,Garrotxa
"Norwegian : Gjetost  Gjetost (pronounced ""Yay-Toast"") is a hard cheese made from boiled goat's milk whey either blended with cow's milk or from 100% goat's milk. This cheese has a sweetish caramel-like taste and is dark brown in color. Gjetost is a non-perishable dessert cheese that must be sliced paper-thin and placed on Norwegian flatbread. Norwegian children eat Gjetost in place of candy",Gjetost
Italian : Gorgonzola  A blue-veined cheese made of cows milk- Gorgonzola is a soft table cheese. It is an antique cheese of great popular tradition with a compact- rough- hard- reddish crust and a firm but mellow paste interior which melts on the tongue. Its color ranges from white to straw-yellow with an unmistakable marbled green or bluish-green mold. The taste ranges from mild to sharp- depending on age. Gorgonzola is also excellent in salads and dips.,Gorgonzola
Holand / Dutch : Gouda  Gouda is a semisoft to hard natural cheese- depending on age. It is pale yellow and slightly sweet and nutty. Gouda is considered to be one of the world's great . It is both a table cheese and a dessert cheese- excellent with fruit and wine.,Gouda
Swedish : Graddost  Sweden's most popular cheese- Graddost is deliciously mild and very creamy. It is laced with small to mid-sized holes and makes an excellent dessert cheese to be served with fruit and wine.,Graddost
Italian : Grana Padano  A very hard natural cheese- a full wheel of Grana Padano weighs over 75 lbs. Grana Padano has an unmistakably savory flavor that cannot be imitated by lesser wannabees. Often used as a grating cheese- Grana is an excellent topping for steamed vegetables- soups- pasta dishes- veal- chicken- or salads. First created by monks in the 10th century- it is truly one of the world's great .,Grana Padano
Greek : Graviera  Made on the island of Crete- this sheep's milk cheese (sometimes blended with goat's milk) is firm and oily in texture- with a sweet flavor offering hints of green olive.,Graviera
Switzerland : Gruyere  Famous for its use in Swiss Fondue- Gruyere is a hard cheese that is similar to Emmental but with smaller hole formation. Its texture is chewy and it develops small cracks as it ages. In addition to its role as a Fondue cheese- Gruyere is also an excellent sandwich cheese that melts evenly.,Gruyere
Austrian : Gruyere  Same characteristics as Swiss Gruyere.,Gruyere
Irish : Gubbeen  Gubbeen's gentle flavors reflect the great care taken by Tom and Gina Ferguson in farming their herd of cows and curing the cheese. A fresh tasting- pliant textured cheese with a peach pink washed rind.,Gubbeen
German : Harzer K_se  Translated as Hand Cheese- it is made from skimmed sour milk in tiny wheels. This product is sealed in a clear wrapper to display its freshness while keeping its strong odor from permeating your kitchen.,Harzer K_se
Swedish : Herrgardost  Sweden's second most popular cheese- Herrgard comes in large wheels and has a few small holes. It has similar characteristics to Gouda and is pale yellow in color.,Herrgardost
Switzerland : Hoch Ybrig  Made in the tradition of Gruyere- but washed with white wine. A hearty unpasteurized cow's milk cheese with a hint of sweetness at the end.,Hoch Ybrig
American : Humboldt Fog  With a central layer and outer covering of ash- this goat's milk tome ripens with a soft- white interior. When cut- it is reminiscent of the early morning fog. Humboldt Fog is made by Cypress Grove Chevre- which is owned and operated by mother and daughter team- Mary Keehn and Malorie McCurdy- in Humboldt County- California- among the towering redwood trees. It has a firm- chewy- edible rind that conceals a soft interior that becomes runny at room temperature.,Humboldt Fog
"Swedish : Hushallsost  A staple on the Swedish farmer's breakfast table- the name of this semi-soft- mild cheese means ""household cheese"" in Swedish. It slices and melts well- making it a perfect candidate for sandwiches- gourmet pizzas- and casseroles.",Hushallsost
Spanish : Iberico  A hard- oily cheese made from blended cow's- goat's and sheep's milk. It is mild yet tasty- aromatic and very popular. Good for cooking and for eating- it goes well with Spanish red wines.,Iberico
Spanish : Ibores  This cheese is made in Extremadura- the most rugged- least developed- and most economically distressed region in Spain. This raw goat's milk cheese reflects its homeland with its full yet simple flavor. It has a hard- dense texture and its flavor becomes sharper with age. During its two-month aging period- this rustic cheese is rubbed with a mixture of olive oil and sweet paprika.,Ibores
Spanish : Idiazabal  This handmade- unpasteurized sheep's milk cheese comes from the Spanish Pyrenees. Idiazabal is naturally smoked with a hard orange-brown rind. In the old days- Basque shepherds lived in small mountain huts and had no space to store and age their  other than inside their stone chimneys. As it turned out- people enjoyed the smoky flavor that the cheese acquired from aging inside the chimneys- and Idiazabal's popularity spread throughout Spain.,Idiazabal
"Norwegian : Jarlsberg  The world's most famous ""Baby Swiss""- Jarlsberg has the consistency- texture and hole formation of Swiss Emmental- but its flavor is more nut-like and sweeter. A full wheel of Jarlsberg weighs about 20 lbs.- one tenth the weight of a wheel of Emmental. Jarlsberg is an excellent all-around performer that can be used as a table cheese- dessert cheese or sandwich cheese. Serve it with wine- beer or aquavit.",Jarlsberg
"Finnish : Juustoleipa  Pronounced hoo-stoh-LEE-pah- its name means ""bread cheese"" in Finnish. Juustoleipa has been produced for more than 200 years in northern Finland and Sweden- originally from reindeer milk! This cheese is unusual in that it is baked during the cheesemaking process. The heat from baking caramelizes the sugars on the outside of the cheese to form a tasty crust similar to brown bread.",Juustoleipa
Greek : Kasseri  Pale yellow in color- with a mild buttery flavor and a springy- kneaded texture. Kasseri is a versatile- multi-purpose cheese made from sheep's milk.,Kasseri
Greek : Kefalotyri  This hard- pale- golden yellow cheese has a tange flavor and a sharp aroma reminiscent of Italian Pecorino Romano. Harder and saltier than Kasseri- Kefalotyri is generally served grated over cooked dishes.,Kefalotyri
Irish : Knockalara  Knockalara is a fresh feta-style cheese made on the Waterford farm by Wolfgang and Agnes Schliebitz. Its light tang marries beatifully with fruity olive oil- so it's ideal in salads. Knockalara comes either plain or preserved in herb-flavored olive oil.,Knockalara
Polish : Kurpianka  A salami-shaped cheese that is often smoked. Typically used as a snacking cheese.,Kurpianka
English : Lancashire  A white cheese with a firm chalky texture. It has a mild flavor with hints of egg yolk.,Lancashire
French : Langres  A small- creamy- washed-rind cheese from Champagne. It has a complex- spicy flavor that incorporates a special saltiness. Pair it with Champagne sparkling wine.,Langres
Finnish : Lappi  Lappi is a semisoft- semisweet cheese that slices easily and is excellent in recipes and for melting. It comes from Finland's Lapland region.,Lappi
Switzerland : Le Marechal  A raw cow's milk cheese produced in small batches in the town of Corcelles-aux-Payernes. Aged for 5 months- at the beginning of the third month the cheese is rubbed with Herbes de Provence (a blend of thyme- oregano and other country herbs) giving it a beautiful appearance and a wickedly spicy flavor. The herb flavor penetrates the rind- imparting a rustic flavor on the cheese.,Le Marechal
English : Leicester  A natural hard cheese. Leicester has a rich- mild flavor with a flaky texture and a deep orange color. This cheese is excellent with fruit and beer.,Leicester
Holand / Dutch : Leyden  Leyden is a part-skim cheese laced with caraway or cumin seeds. It is semisoft to hard and bland in flavor. Its seeds give Leyden most of its taste.,Leyden
German : Limburger  A soft-ripened cheese famous for its pungent odor- Limburger is a strong cheese that goes well with red wine or beer. Limburger has a thin crust- a soft texture- and is nearly white inside. During the two-month curing process- the cheese is constantly brushed with brine until it has absorbed all salt.,Limburger
English : Lincolnshire Poacher  Made at the Lynher Dairy in Cornwall- this cheese has a grey rind wrapped in large nettle leaves. Poacher has a grassy- creamy flavor and a firm texture.,Lincolnshire Poacher
French : Livarot  This semi-soft- washed-rind cheese from Normandy has a pronounced flavor with a smooth- slightly spicy flavor and a firm body. Its interior is pale yellow in color and offers an edible crust that is encircled by straps of paper that maintain its shape during affinage.,Livarot
Polish : Lubelski  A mild pale yellow cheese for sandwiches or melting.,Lubelski
Holand / Dutch : Maasdam  Holland's answer to Jarlsberg- marketed under brand names such as Leerdammer- Westberg- etc.,Maasdam
Spanish : Mahon  An aged cheese produced from cow's milk on Minorca- the outermost of the three Spanish Balearic Islands. Ripened for six months to two years the eight inch squares weighing 5 to 6 pounds- it is buttery sharp- slightly salty with a sweet and nutty aroma.,Mahon
Spanish : Majorero  A large cheese with a beautifully decorated rind- Majorero is made from unpasteurized goat's milk- and can be sold fresh or cured. It has a lively acidity and a slight piquancy on the palate. It is creamy with a mouth-watering- long-lasting flavor.,Majorero
Spanish : Manchego  This historic cheese is produced in the La Mancha region from pasteurized sheep's milk-. It has a black- gray or buff colored rind with a crosshatch pattern- the interior ranges from stark white to yellowish- depending on age. It has an even distribution of holes and a mild- slightly briny- nutty flavor.,Manchego
Italian : Mascarpone  This cheese is virtually solidified cream- mildly coagulated and whipped into a velvety consistency. It hails from the Lombardy region and is served with fresh fruit or sweetened with sugar and used as a pastry ingredient- such as for Tiramisu.,Mascarpone
American : Maytag Blue  First crfeated in the 1930s- this full-flavored- moist yet crumbly blue cheese has a lemony finish. Made in Iowa at the Maytag Dairy from local milk.,Maytag Blue
French : Mimolette  A semi-hard cow's milk cheese produced in Flanders and Normandy. It comes in spheres of about 7-8 pounds- it has an orange rind and interior. A firm texture with some small holes and a mild favor.,Mimolette
Greek : Mizithra  A cheese made from whey of Feta and Kefalotyri- Mizithra is available both fresh and aged. Fresh Mizithra is soft- similar to cottage cheese. Aged Mizithra is shaped like an ostrich egg- and is firm and pungent- rather like Italian Ricotta Salata. The aged variety makes an excellent grating cheese.,Mizithra
Italian : Montasio  From Friuli- this mountain cheese has a firm texture and a smooth- nutty flavor with hints of grass and honey.,Montasio
Italian : Monte Veronese  As its name implies- this cheese comes from the mountains north of Verona. It has a distinctive milky flavor that intensifies greatly with age. Whereas the young varieties are shy and mild- an aged Monte Veronese is brash and bursts with flavor.,Monte Veronese
American : Monterey Jack  David Jacks- a Scottish immigrant who settled in Monterey- California created Monterey Jack in the 1890s. Jacks followed a Swiss-method of cheesemaking- which is why Monterey Jack has its semi-soft- cracked texture. When young- it is bland and mostly flavorless - therefore often blended with additives like jalapenos or herbs. When aged for 1 year- it develops a rich- savory- tangy flavor and a texture that is hard enough to grate.,Monterey Jack
French : Morbier  A semisoft cow's milk cheese from Franche-Comte. It has a creamy brown crust- the interior is two layers of glossy- yellowish-ivory paste separated by a thin flavorless layer of ash. This separates the morning milking from the evening milking. It is a creamy cheese with a flavor of nuts and fruit and an aroma of fresh hay.,Morbier
Polish : Morski  A mild pale yellow cheese for slicing or snacking.,Morski
"Italian : Mozzarella di Bufala  ""Buffalo"" Mozzarella is made in the South of Italy from pure water buffalo milk. This cheese is pure white- hand-formed into small balls. It is soft and rubbery and stored in a whey brine. It is best served with sliced tomatoes and fresh basil- drizzled with extra virgin olive oil and sprinkled with salt and pepper.",Mozzarella di Bufala
German : Munster  See French Munster.,Munster
French : Munster  French Munster is one of the few  which ripen from the inside out. Munster is dark yellow with a strong flavor. It should be served with dark bread and beer. French Munster has nothing in common with Domestic Munster- which is a white- mild cheese.,Munster
Spanish : Murcia  A Spanish Queso de Cabra- this cheese is produced in the region of the same name. This region's rich variety of grasses- shrubs and abundant wild herbs give Murcia cheese a taste and aroma that could only come from the Spanish heartland. Its distinctive lemony-peppery flavor and supple satiny body have earned Murcia a place among Spain's elite . When cured al Vino- the cheese may be called Drunken Goat in America.,Murcia
Holand / Dutch : Nagelkaas  Similar to Leyden but flavored with cloves.,Nagelkaas
Portuguese : Nisa  A raw ewe's milk cheese made from the milk of Merino sheep. Its milk is curdled after coagulation provoked by the addition of thistle. Salting is done directly on the paste after it is formed into its disc shape. Nisa has a soft paste with small eyes and a yellowish color. The flavor is robust- earthy- and a slightly acidulous in taste.,Nisa
Norwegian : Nokkelost  Similar to Dutch Nagelkaas but often made from whole- rather than part-skimmed- milk.,Nokkelost
Canadian : Oka  Made in Quebec since 1893- Oka was first created by Benedictine Monks who emigrated from France. It is semi-soft- slightly aromatic and has a piquant flavor.,Oka
Finnish : Oltermanni  A semi-soft- especially sweet cheese formed in one pound wheels that goes great with fresh fruit and light-bodied wines.,Oltermanni
Irish : Orla  On the Manch estate in Co Cork- Iris Diebrok and Oliver Jungwirth farm an organic flock of dairy sheep. Iris uses the milk for her award-winning semi-hard rind-washed cheese. Orla is matured for 2-6 months.,Orla
French : Ossau-Iraty  A mellow sheep's milk cheese from the French Pyrenees characterized by herbal notes and a slightly oily texture.,Ossau
Italian : Parmigiano Reggiano  Made from the same recipe as Grana Padano- it too is a very hard natural cheese. A full wheel of Parmigiano Reggiano weighs 75 lbs. and must be cut by a saw. Parmigiano Reggiano's flavor is unmistakably piquant and true cheese connoisseurs know when they are served an inferior imitation. Often used as a grating cheese- Parmigiano Reggiano is a great topping for soups- pasta dishes- veal- chicken- or salads. Buy this cheese as a wedge and grate it yourself so you know you are getting the real thing.,Parmigiano Reggiano
Belgian : Passendale  A sweet semi-soft cheese with many small holes.,Passendale
Italian : Pecorino Toscano  The official cheese of Tuscany- this pure sheep's milk variety is produced in 5 pound wheels throughout the province. Ranging in age from 30 days to 1 year- its texture proceeds from soft and springy to hard and flaky over time. It is an exceptionally sweet cheese that offers hints of olive and hay.,Pecorino Toscano
Italian : Pecorino Romano  A very hard cheese made from part-skim sheep's (Pecorino)- goat's (Caprino) or cow's (Vecchino) milk. More mild than Parmigiano Reggiano- it is a very popular grating cheese that sharpens as it matures.,Pecorino Romano
Italian : Piacentinu  Also spelled Piacintinu- this Sicilian cheese incorporates saffron and whole peppercorns in its recipe. Bright yellow in color- this rich- creamy sheep's milk cheese is most often served fresh; aged for only 3 to 6 days.,Piacentinu
Spanish : Picon  A piquant blue cheese from Cantabria made from a blend of cow- goat and sheep's milk.,Picon
Polish : Podlaski  A flavorful yellow cheese for melting or snacking.,Podlaski
